agg_id,x_pos,y_pos,NN_dist,Area,Area_ratio_with_NN,Perimeter,AxesRatio,Solidity,EulerNumber,Ratio_area_filledarea,Eccentricity,EquivDiameter,Orientation,Ratio_eDiameter_perimeter,ave_neigh_area,ratio_area_2_ave_neigh_area,maxAreaN,ratio_area_2_max_neigh_area,min_area_N,ratio_area_2_min_neigh_area,median_area_N,ratio_area_2_median_neigh_area,sum_neigh_area,ratio_area_2_sum_neigh_area,weightSumAreaN1,weightSumAreaN2,avgWeightSumAreaN1,avgWeightSumAreaN2,EquivDiameter_over_NNdist,NNdist_over_EquivDiameter,NNdist_over_avgWeightSumAreaN2,EquivDiameter_over_avgWeightSumAreaN2,sumRadiusNeigh,avgRadiusNeigh,sumNeighborDist,avgNeighborDist,NeighborhoodArea,Ratio_area_2_NeighborhoodArea,NN_area,stable
485,3131.5112704918,4383.4887295082,99.7294644205339,3431.25,0.856140350877193,218.23875,0.630589274155036,0.934865900383142,1,1,0.776116722742543,66.0969226808066,82.4345008727956,0.302865200065555,2950.78125,1.16282764098491,6243.75,0.54954954954955,1139.0625,3.01234567901235,3543.75,0.968253968253968,17704.6875,0.193804606830818,26895.8111570759,124.03280503323,4482.63519284599,20.672134172205,0.662762234459544,1.50883672606279,4.82434293381409,3.19739230261374,325.241587516836,54.2069312528061,795.799655857987,132.633275976331,15201.5625,0.225716928769658,4007.8125,1
486,3154.50418994413,3801.50488826816,143.632655495501,5034.375,0.552469135802469,249.90375,0.850392092758208,0.967567567567568,1,1,0.526149492610527,80.0622591051869,68.9358929690798,0.320372379786966,5791.40625,0.869283690813436,9885.9375,0.509246088193457,1378.125,3.6530612244898,7256.25,0.693798449612403,34748.4375,0.144880615135573,46521.8393490035,186.45508751265,7753.63989150058,31.075847918775,0.557409864971095,1.79401202390248,4.62200278077441,2.57634994592749,453.098806973252,75.5164678288754,945.159893316191,157.526648886032,14835.9375,0.339336492890995,9112.5,1
487,3188.37626995646,1889.3087808418,141.03606544055,9689.0625,1.92997198879552,379.695,0.914408334844252,0.936141304347826,1,1,0.40479303003802,111.069786739736,-1.82052825435666,0.292523701233191,4426.875,2.18869123252859,6173.4375,1.56947608200456,5020.3125,1.92997198879552,5470.3125,1.77120822622108,22134.375,0.437738246505718,28811.6267969238,123.881208964305,5762.32535938476,24.7762417928611,0.787527547601327,1.26979685097471,5.69239138928598,4.4829150307913,335.521727499403,67.1043454998807,729.980871527811,145.996174305562,20503.125,0.472565157750343,5020.3125,1
488,3178.82653061224,3254.86394557823,122.705743831687,6201.5625,1.47986577181208,276.6375,0.883466214792223,0.967105263157895,1,1,0.468494874380395,88.8598594087716,-56.1453762106477,0.321214077660374,5305.078125,1.16898608349901,9478.125,0.654302670623145,4190.625,1.47986577181208,7551.5625,0.82122905027933,21220.3125,0.292246520874752,26176.9797122355,144.367477343503,6544.24492805888,36.0918693358759,0.724170333302886,1.38089059163619,3.39981680332961,2.46204646763595,280.95560947208,70.2389023680201,445.315230799146,111.328807699786,20784.375,0.298376184032476,4190.625,1
495,3231.76486784141,758.879405286344,129.68661227157,6384.375,1.58741258741259,284.35875,0.830561110382119,0.965957446808511,1,1,0.556927501494425,90.160072750739,-51.3059743101447,0.317064527645937,3943.125,1.61911554921541,6342.1875,1.00665188470067,4021.875,1.58741258741259,4675.78125,1.36541353383459,19715.625,0.323823109843081,27675.8827021513,113.670910195972,5535.17654043027,22.7341820391944,0.695214958363932,1.43840403312571,5.70447672355163,3.96583754785197,315.722202724556,63.1444405449111,704.504628263285,140.900925652657,14540.625,0.439071566731141,4021.875,1
497,3251.1646514936,3599.38655761024,188.459721670354,9885.9375,1.36240310077519,347.19375,0.96138136954752,0.979108635097493,1,1,0.275219661882894,112.192542362584,53.2068110004747,0.323141019567847,7625.390625,1.2964499769479,9717.1875,1.01736613603473,5034.375,1.96368715083799,7875,1.25535714285714,30501.5625,0.324112494236976,32887.7554117231,150.863672200882,8221.93885293077,37.7159180502206,0.595313106525896,1.67978831481766,4.99682180397706,2.97467351088192,391.405726482446,97.8514316206116,817.50674278642,204.376685696605,14526.5625,0.68054211035818,7256.25,1
498,3260.544,1669.788,133.56091290093,8789.0625,1.59438775510204,339.16125,0.719627763761571,0.951293759512938,1,1,0.69436005186324,105.785546915204,47.992316840509,0.311903399681433,3794.0625,2.31653076352854,6173.4375,1.42369020501139,2151.5625,4.08496732026144,5322.65625,1.65125495376486,18970.3125,0.463306152705708,20612.5390316398,131.817912463143,4122.50780632797,26.3635824926285,0.792039711451147,1.26256295680912,5.06611394480529,4.01256342702221,305.61701251408,61.123402502816,602.426845778407,120.485369155681,24735.9375,0.355315520181922,5512.5,1
499,3251.06707317073,1287.15320121951,136.091163314448,4612.5,0.822055137844611,241.87125,0.859743732083911,0.950724637681159,1,1,0.510725675037421,76.6343095492544,37.0121962216157,0.316839266962297,4026.5625,1.14551804423749,5610.9375,0.822055137844611,2995.3125,1.53990610328638,3473.4375,1.32793522267206,12079.6875,0.381839348079162,13303.1050289766,81.3152844035471,4434.36834299219,27.1050948011824,0.563110107099208,1.77585162722682,5.02087022062402,2.82730276766682,212.780169824631,70.9267232748771,458.479432282562,152.826477427521,14667.1875,0.314477468839885,5610.9375,1
500,3261.52918781726,112.848984771574,153.074855634159,8310.9375,0.907834101382488,323.80875,0.792361906949347,0.964110929853181,1,1,0.610051316214951,102.867945827757,62.9534184537028,0.317681180103247,6262.5,1.32709580838323,9154.6875,0.907834101382488,4387.5,1.89423076923077,5245.3125,1.58445040214477,18787.5,0.442365269461078,21058.9560303942,110.979194211203,7019.65201013138,36.9930647370678,0.67201073227602,1.4880714726283,4.137933872799,2.7807359719694,264.427609473037,88.1425364910122,529.05435856144,176.351452853813,16748.4375,0.496221662468514,9154.6875,1
501,3270.95046082949,265.633640552995,153.074855634159,9154.6875,1.10152284263959,341.70375,0.759207813100126,0.961595273264402,1,1,0.650848289947607,107.963466713017,-51.6469798977227,0.315956341459574,4299.609375,2.12919051512674,8310.9375,1.10152284263959,1800,5.0859375,3543.75,2.58333333333333,17198.4375,0.532297628781684,18781.2904130283,103.956942973431,4695.32260325709,25.9892357433577,0.705298504223607,1.41783938858739,5.88993293784261,4.15416089103775,284.115133181783,71.0287832954457,712.370423500549,178.092605875137,17929.6875,0.510588235294118,8310.9375,1
